generation,best_cv_rmse,mean_cv_rmse,worst_cv_rmse
1,3.3491115310329196,3.991136288228707,4.944183118832278
2,3.119225577872961,3.6379086578025133,4.2075182761049
3,2.907131698709045,3.4892239365702635,4.510182071997333
4,3.142795425596101,3.40663127910224,3.6406862859477456
5,3.0570650140579785,3.454994455124962,4.994216405129683
6,3.0570650140579785,3.4961204934012917,4.8568937061203945
7,3.0570650140579785,3.37867020236105,3.7107764392657216
8,3.0570650140579785,3.4841588534311634,4.463781373002976
9,3.009362742603188,3.4696479455278855,4.8320753740857985
10,3.121902884840497,3.453093795707634,3.8270736349607843
11,3.111242920084355,3.3698503757768252,3.5728226259674325
12,3.111242920084355,3.3704227920534784,3.7533172211901262
13,3.111242920084355,3.327701537373895,3.5894914641133466
14,3.038136538011028,3.4047689488359394,4.9177166516800455
15,3.038136538011028,3.3255861572759167,3.8513149182297157
